"","pop_100m","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"Nh_02",-0.382254448865223,0.423513159829744,-0.352282457554104,-0.883096236022639,1.37289063029571,-0.065723442100583,1.52296106956234,-1.92585677656222,-1.71677898705361,0.554365951470775
"Nh_04",-0.38321241117782,0.427203925838747,-0.517022952062395,-0.0761193040741997,-0.293833389069458,-0.451607763148072,-0.190795840719819,-0.112053078152843,-0.380231226018374,0.533527325516217
"Nh_05",-0.38321241117782,0.541476692808972,0.616748214567638,0.742412731814563,-0.414755552073425,0.610872686405904,-0.705637789053084,0.926774708481488,0.0612430448999622,-1.18199084468808
"Nh_10",-0.38321241117782,1.47184455457593,-0.329428528008802,0.779185830951747,-0.234710243486071,1.47438311742006,-1.55179045166446,0.848275833736149,-0.6049126616269,-1.18199084468808
"Nh_11",-0.38321241117782,0.343269327759608,-0.517022952062395,-0.315971712918615,0.62625510487322,1.4371688988888,-0.83673193357636,0.734132180657407,0.0123036997645162,-0.950616848051116
"Nh_51",-0.38321241117782,-0.0610440030837929,-0.517022952062395,0.0351806056955138,-0.867367526412043,1.55124813238692,-0.831964796283137,0.595237363068725,0.318209262507207,-1.04610126986688
"Nl_03",-0.38321241117782,0.544002174458854,-0.517022952062395,0.109512813764854,-0.397235816173158,1.69170215528959,-1.31343749391063,0.838984502791598,-0.504551303559229,-1.18199084468808
"Nl_05",-0.38321241117782,-1.5059743951151,-0.150707949872924,0.765029512275574,0.0916167941995917,-0.0485289944100232,0.0189546484480661,0.341244015834607,0.297196447106015,-1.06267846515882
"Nl_14",-0.38321241117782,0.903434489285313,1.95470626507217,0.782816783657944,0.270386761974185,-0.952801248982751,-0.181261566133372,0.309277422036106,-0.289657736977792,-0.274732094485303
"Nl_16",-0.38321241117782,1.72217580185798,-0.517022952062395,0.72192029481531,0.814713802333684,1.20296303215959,-1.40639525043491,0.893452953859537,-0.538443132305189,-0.787580284599055
"Nl_200",2.05786395681649,-0.0519520667123887,0.104832579931592,0.782816783657944,0.347417071315553,0.753527742063969,0.140514518384896,-0.111091708425496,-0.191779395004851,-0.984534954086288
"Nl_205",0.782057548035704,-0.85048410380489,0.026509558760825,0.782816783657944,1.07385643750185,0.402839837590029,2.67897232863232,-3.00016949519269,-2.8926311291114,-0.574196993788107
"Nl_206",-0.329835047508183,-0.610139758465748,-0.39705045262391,0.752568705750367,0.728146149707787,0.916944196304409,-0.479202674532312,0.519462178242221,0.587154839851044,-0.446533773759057
"Nl_208",3.73738761060733,0.897905497682874,0.815804586641842,0.763693621318787,0.35215223940998,-1.22906047701902,0.533796951954725,0.872706541670307,1.04732887947607,0.881221839943464
"Nl_211",2.39808282976034,0.4905582921127,2.06760085697073,0.756869775232734,0.839901300824314,-0.721767298861476,1.94722918519134,-2.04112183668089,-1.87075454535891,-0.522874317723405
"Nl_214",-0.38321241117782,-1.26377290042145,3.30609885497188,0.761810291910183,0.965107505961697,-1.22906047701902,1.85665517490037,-1.59760344263763,-1.71005892638147,-0.864883361248343
"Nl_55",-0.38321241117782,-1.19133342985029,0.788800699052263,0.747383103836434,1.07424965609623,-0.27375594273442,0.958064712410324,-1.17002537604812,-1.03265493751776,-0.474163578790577
"Nl_56",-0.38321241117782,-0.734974767553216,-0.363642660982951,0.782816783657944,0.265871366123601,0.752678351981429,-0.419614523887202,0.435756552554018,0.651433226761204,-0.537062303210116
"Nm_02",-0.38321241117782,0.142513056805966,-0.517022952062395,-2.2694451675938,1.29583247026849,-1.21894262116463,0.724479247123111,-1.10826739727004,-0.651952738033974,1.9059257553279
"Nm_05",-0.38321241117782,-1.36032088111619,-0.517022952062395,0.760923045356396,0.612491902571273,1.69170215528959,0.271608662908172,0.611417555516027,0.905040110628278,-1.18199084468808
"Nm_07",-0.38321241117782,-1.12422435079878,-0.517022952062395,0.782816783657944,0.102612024376459,0.489679049318305,-0.419614523887202,0.435756552554018,0.651433226761204,0.0598453643128232
"Nm_09",-0.38321241117782,-0.430293321711711,-0.00142154439776502,0.777755488541696,0.935792039478197,-0.580447260183932,0.204869806323228,-0.24678272415761,-0.0375119630163699,0.767045052628242
"Nm_201",3.29042605769125,-0.37845819402241,3.46228619093057,0.782816783657944,1.53703981524346,-1.22906047701902,1.93769508819159,-0.633749890365659,-0.31142426914557,-1.16907019212153
"Nm_202",0.54120511287966,0.797123799897292,1.0445874331481,0.751024913031512,1.05800415801127,-0.761694247176231,2.51450893340327,-2.97349578220337,-3.00058921379461,-0.443862114845013
"Oh_01",-0.38321241117782,1.92246966067855,-0.517022952062395,0.704794726430227,-0.941213757836666,0.206225792812664,-0.419614523887202,0.423741531690631,0.68065054870293,0.233006034832627
"Oh_02",0.501337198525358,0.503764799984679,-0.437143320665239,0.770383118354939,-0.26165591992744,1.55643012566359,-0.293287516657149,0.855004657926323,0.348157313550735,-1.09556784033434
"Oh_03",-0.38321241117782,-0.228614901483929,-0.517022952062395,-0.865658000757789,0.782205158204395,1.40888729055125,-0.657967126467639,0.595958485851891,0.344650998075121,-0.984252914762976
"Oh_04",-0.38321241117782,0.0987553928408931,-0.517022952062395,-1.1198629593149,-0.494787117502595,-1.22906047701902,-0.383861704534816,0.334989574322767,0.746389697220791,1.68252609540171
"Oh_07",-0.38321241117782,0.31405147444297,-0.517022952062395,-1.31053438788022,-1.94523387835128,-1.22906047701902,-0.367177079181928,0.295179624405448,0.852156639492449,1.34071082696713
"Oh_10",-0.374068262962094,0.914715725877768,-0.517022952062395,-1.20620977221644,0.67554916434399,-1.17842626730317,-0.360026373242093,0.312481223892675,0.83243461629873,1.75816323365005
"Oh_12",-0.372269539267138,-1.1306374634105,-0.517022952062395,-0.815393814300606,-0.473406614744066,0.176831307635059,-0.479202674532312,0.357658344016063,0.717172375279064,0.297047597556307
"Ol_03",-0.372227931728331,2.44334092464325,-0.517022952062395,-0.943503640041191,-0.0361756642313872,-1.22906047701902,-0.419614523887202,0.218923563739958,0.881373961434175,1.77006083890363
"Ol_06",-0.38321241117782,0.0686452489447618,0.25225252355558,0.0283885148394378,1.33284355002821,0.573404469077671,-0.860567264869083,0.781792361804824,0.034070580230246,-0.592922480645879
"Ol_11",-0.38321241117782,-0.926401317034502,-0.517022952062395,0.188543981634045,-1.08825710668089,-1.22906047701902,0.183418043677118,-0.431014699182257,0.106529789420253,1.55879254013259
"Ol_16",-0.38321241117782,-1.33078098045015,-0.517022952062395,-2.68173505695677,-2.22118867654933,-1.22906047701902,-0.343341392715812,0.229336683675061,0.879913199826475,1.40039184438791
"Ol_50",-0.38321241117782,-1.456618108421,-0.517022952062395,-2.06996193412224,-1.42637987494978,-0.15546814589333,0.130980598971843,0.220986097124015,0.817753161056047,-0.0961746558550386
"Ol_55",-0.38321241117782,0.368128390034468,-0.517022952062395,0.728212444358423,-0.0289295224199883,-0.0727608974595915,-0.419614523887202,0.214277516317056,0.872024251229806,0.424978211531299
"Om_02",-0.364545159828387,1.28156499829215,-0.517022952062395,0.723512670321907,-1.02379821088628,-1.22906047701902,-0.419614523887202,0.255529711800708,0.855954480353291,1.69588781079
"Om_05",-0.38321241117782,-1.03187379405997,-0.517022952062395,-0.477319222192338,-1.24859295366113,0.62907094291301,-0.474435537239088,0.50392213504523,0.514988200940118,-0.148964649071397
"Om_06",-0.38321241117782,-0.673628235825826,-0.517022952062395,-0.414125500302518,-0.328923874502503,-0.22030355848091,-0.371943861301758,0.601565139100887,0.47393780440134,0.568118352789682
"Om_08",-0.38321241117782,-1.04073347605715,-0.517022952062395,0.265119683130611,-1.10478414486744,0.21870498524895,-0.419614523887202,0.401713675148899,0.676998296385727,0.0795673782351243
"Om_15",-0.38321241117782,0.761803060745513,-0.517022952062395,-1.88218986661866,-2.32370525881822,0.0185077120694773,-0.59837897582253,0.385693520014174,0.567433513253227,0.273554416778063
