"","Amara_aenea","Amara_anthobia","Amara_apricaria","Amara_aulica","Amara_bifrons","Amara_convexior","Amara_curta","Amara_equestris","Amara_eurynota","Amara_familiaris","Amara_fulva","Amara_fusca","Amara_lucida","Amara_lunicollis","Amara_makolskii","Amara_municipalis","Amara_ovata","Amara_similata","Amara_tibialis","Anisodactylus_binotatus","Badister_bullatus","Bembidion_lampros","Bembidion_properans","Bradycellus_harpalinus","Calathus_ambiguus","Calathus_cinctus","Calathus_erratus","Calathus_fuscipes","Calathus_melanocephalus","Carabus_nemoralis","Cicindela_campestris","Cicindela_hybrida","Harpalus_affinis","Harpalus_anxius","Harpalus_autumnalis","Harpalus_calceatus","Harpalus_distinguendus","Harpalus_flavescens","Harpalus_griseus","Harpalus_latus","Harpalus_luteicornis","Cryptophonus_melancholicus","Harpalus_picipennis","Harpalus_pumilus","Harpalus_rubripes","Harpalus_rufipalpis","Harpalus_rufipes","Harpalus_serripes","Semiophonus_signaticornis","Harpalus_smaragdinus","Harpalus_tardus","Leistus_ferrugineus","Leistus_rufomarginatus","Licinus_depressus","Loricera_pilicornis","Masoreus_wetterhallii","Microlestes_minutulus","Nebria_brevicollis","Nebria_salina","Notiophilus_aestuans","Notiophilus_aquaticus","Notiophilus_palustris","Panagaeus_bipustulatus","Poecilus_cupreus","Poecilus_lepidus","Poecilus_versicolor","Pterostichus_diligens","Pterostichus_niger","Pterostichus_vernalis","Stenolophus_teutonus","Syntomus_foveatus","Syntomus_truncatellus","Trechus_quadristriatus"
"1",8,0,0,0,0,3,10,0,0,1,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16,6,0,0,0,3,0,2,3,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,1,5,11,0
"2",4,0,0,13,4,19,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,39,1,2,0,0,0,2,4,0,0,0,0,0,3,0,0,15,34,0,1,0,0,2,2,1,0,0,0,0,2,3,0,0,0,0,4,12,0,2,0,0,0,0,8,16,0
"3",410,0,0,0,1,0,0,0,0,9,0,0,51,6,0,0,0,1,11,0,0,0,11,0,0,1,0,2,1,0,0,0,12,6,0,0,5,0,0,0,1,0,0,70,50,0,0,0,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,11,0
"4",27,0,0,0,2,2,0,3,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,4,0,12,27,2,0,0,0,0,31,11,0,0,0,0,6,0,0,0,114,54,0,0,3,1,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,14,0,0
"5",6,0,0,0,0,4,0,0,0,2,0,0,3,4,0,0,1,0,3,0,0,1,0,0,0,0,0,25,2,0,0,0,3,2,4,0,1,0,0,1,3,0,0,13,24,0,7,1,2,0,68,2,0,1,0,4,2,1,0,0,1,0,1,3,3,17,0,1,0,0,11,12,0
"6",52,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,2,0,15,28,0,0,0,1,0,29,19,0,0,1,1,0,0,4,0,20,20,0,0,0,2,9,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0
"7",13,0,0,0,3,4,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,46,13,6,0,0,0,1,16,12,0,0,0,0,0,1,0,0,77,14,0,2,0,0,1,19,0,0,2,0,0,5,0,0,0,0,0,1,0,1,7,0,1,0,0,8,4,0
"8",147,0,5,0,9,0,0,0,1,1,3,0,5,0,0,0,0,0,0,0,0,2,0,0,15,0,0,7,3,0,0,0,0,233,93,1,1,1,1,0,0,0,0,54,5,0,0,36,0,10,6,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,27,0,0
"9",4,0,0,0,27,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,31,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,13,18,0,3,1,0,21,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"10",8,0,0,0,0,3,0,0,1,2,1,0,0,8,0,0,0,2,13,0,1,0,1,0,0,0,0,19,5,0,0,0,2,1,2,0,0,0,0,0,0,0,0,12,27,0,2,2,0,1,47,0,0,0,0,0,3,0,0,0,0,0,2,3,9,36,0,2,0,0,11,20,2
"11",10,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,10,1,0,0,0,0,5,4,0,0,0,0,0,0,1,0,10,31,0,0,1,2,3,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0
"12",40,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,6,0,0,0,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"13",7,0,0,0,28,11,0,0,1,24,0,0,12,7,0,0,1,1,1,0,0,0,0,0,0,0,2,23,13,0,0,0,0,0,16,0,0,0,0,0,1,0,0,25,2,0,3,0,3,1,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,19,0
"14",17,1,0,0,0,15,24,0,0,1,0,0,5,0,2,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,19,8,0,1,0,0,1,7,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,10,0
"15",176,0,0,0,55,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,273,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"16",29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,5,0,0,0,0,1,170,29,8,1,1,12,0,0,35,0,182,55,0,0,8,2,21,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,3,0,0
"17",96,0,0,0,14,1,0,0,1,4,0,1,4,1,0,0,0,1,0,0,1,1,1,0,0,0,1,2,4,0,0,0,0,1,44,0,0,1,0,0,1,0,0,248,22,1,0,0,2,11,24,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,0
"18",228,2,0,0,2,0,0,0,0,4,0,0,22,1,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,0,0,5,94,0,0,0,0,13,0,0,0,0,59,3,0,3,2,1,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
"19",9,3,0,1,0,2,15,0,0,2,0,0,0,0,0,0,0,1,0,0,1,30,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,22,1,0,0,0,0,0,72,0,0,0,3,0,0,0,12,0,2,0,0,0,1,1
"20",13,0,0,1,34,3,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,4,26,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,26,23,0,0,0,2,1,2,4,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,7,0
"21",46,0,1,0,6,0,0,0,0,1,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,2,20,0,0,1,0,2,0,0,0,0,71,0,0,13,1,1,102,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
"22",4,0,0,0,0,37,0,0,1,7,0,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,2,0,0,0,0,1,2,1,0,0,0,21,0,0,7,1,0,0,0,2,0,0,0,0,0,5,0
"23",56,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1,0,5,1,0,0,0,0,0,0,0,0,51,3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
"24",194,0,0,0,0,8,0,0,0,3,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,69,0,0,0,11,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
"25",19,0,0,0,31,6,0,1,0,0,0,24,0,2,3,4,1,0,0,0,0,0,0,1,0,0,31,5,4,0,0,0,0,12,9,0,0,0,0,0,0,0,0,42,22,0,1,0,10,7,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"26",31,0,0,4,10,2,0,0,5,0,1,4,1,11,0,0,0,0,1,0,0,0,1,0,0,1,1,23,9,0,0,0,0,27,6,0,8,0,0,0,0,0,0,114,26,2,1,6,2,9,26,0,0,0,0,1,0,0,0,1,0,0,0,0,1,14,0,0,0,0,3,21,0
"27",35,0,0,0,8,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,31,16,0,0,0,0,0,87,53,8,0,0,18,0,0,2,0,77,61,1,0,6,12,40,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0
"28",0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,3,0,0,0,1,21,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0,6,1,0,0,0,0,0,7,0,0,5,0,0,0,13,21,0,0,0,0,4,2,0
"29",38,0,0,0,2,0,0,0,0,11,0,4,9,6,0,1,0,1,3,0,0,0,0,0,0,0,10,2,0,0,2,1,0,1,92,1,1,0,12,0,0,0,0,61,0,0,0,0,8,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0
"30",2,0,0,0,0,2,2,0,0,6,0,0,1,9,5,0,0,3,0,0,1,3,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,2,0,4,1,1,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"31",33,0,1,2,0,3,0,7,1,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,1,9,3,0,1,0,1,0,0,0,0,9,1,0,8,0,12,7,12,0,0,0,0,0,3,1,1,0,0,0,0,2,0,2,0,0,1,0,1,0,0
"32",44,0,0,0,0,10,120,0,0,21,0,0,14,0,5,0,1,5,0,0,0,4,1,0,0,0,0,3,6,0,1,0,0,0,2,2,2,0,0,0,0,0,0,9,0,1,2,0,9,1,29,0,0,0,1,0,8,104,0,1,2,0,0,0,0,4,0,0,0,0,9,24,0
"33",3,0,0,2,7,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,80,8,0,1,1,1,9,8,0,0,1,1,1,0,1,0,0,0,0,0,1,0,2,0,3,0,0,10,3,1
"34",3,0,0,0,17,0,0,4,0,2,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,3,0,0,1,1,0,0,0,1,1,0,0,4,10,8,1,4,0,3,2,2,0,1,0,0,0,0,108,0,1,1,0,0,0,0,0,0,0,0,0,14,0,1
"35",177,0,0,0,1,0,38,0,0,12,0,0,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,57,4,6,1,1,10,0,37,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3,0,0,1,0,11,15,0
"36",37,0,0,0,4,0,3,0,0,6,0,1,11,0,2,0,1,2,0,1,0,0,1,0,0,0,2,9,3,0,0,0,1,4,43,0,0,6,2,0,0,1,8,33,0,0,1,1,12,2,13,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"37",42,0,0,1,0,0,0,2,1,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,6,30,1,0,0,0,0,7,3,0,3,0,1,9,0,5,1,87,20,3,2,2,40,20,5,0,0,0,0,0,4,3,0,0,0,0,1,0,1,1,0,0,0,0,38,3,0
"38",1,0,0,3,7,33,2,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,4,1,0,0,9,1,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,6,0
"39",33,0,0,1,6,0,3,1,1,1,0,0,0,6,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,9,0,5,9,3,10,0,8,0,0,0,0,0,6,10,0,0,2,0,0,1,0,22,0,2,0,0,8,62,0
"40",9,0,0,0,24,2,0,0,0,4,0,1,1,1,3,0,0,0,2,0,0,5,0,0,0,0,0,5,4,0,1,8,0,1,0,0,1,0,3,0,0,0,0,5,0,0,8,0,2,1,72,0,0,0,0,0,5,83,0,0,2,1,0,0,179,7,0,0,0,0,9,4,0
"41",22,0,0,0,1,3,0,0,0,1,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,2,9,0,3,0,9,0,0,0,0,13,2,44,3,0,2,16,21,0,0,0,0,0,1,94,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"42",25,0,0,0,54,65,0,2,0,2,0,0,0,18,35,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,1,2,0,12,1,7,0,0,0,0,0,4,0,0,0,1,0,0,0,2,5,0,0,0,0,9,9,0
