SCIENTIFIC,GERMAN,ENGLISH,Order,Family,Habitat_long,Habitat,Introduced,Status,Migrant,SpecID_Elton,PassNonPass,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,ForStrat-Cat,Nocturnal,BodyMass-Value,log10_productivity,Nest_type,Foraging_habitat,Developmental_mode,Time_activity,Social system,Migratory mode,Diet
Accipiter gentilis,Habicht,Northern Goshawk,Accipitriformes,Accipitridae,Forest - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Resident,4767,Nonpasseriformes,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,low,0,866.04,-0.642,open,terrestrial,altricial,diurnal,Pair,migrant,vertfishscav
Accipiter nisus,Sperber,Eurasian Sparrowhawk,Accipitriformes,Accipitridae,Artificial/Terrestrial - Shrubland - Forest - Savanna,Terrestrial,Native,LC,Semi,4753,Nonpasseriformes,0,100,0,0,0,0,0,0,0,0,VertFishScav,0,0,20,20,20,20,20,multi,0,220.79,-0.364,open,terrestrial,altricial,diurnal,Occasional,migrant,vertfishscav
Acrocephalus arundinaceus,Drosselrohrsänger,Great Reed-Warbler,Passeriformes,Sylviidae,Wetlands (inland) - Artificial/Terrestrial - Savanna - Shrubland - Grassland,Aquatic,Native,LC,Migrant,10802,Passeriformes,70,0,20,0,0,0,10,0,0,0,Invertebrate,0,20,20,60,0,0,0,low,0,30,-0.175,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Acrocephalus palustris,Sumpfrohrsänger,Marsh Warbler,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10801,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,0,50,50,0,0,multi,0,11.5,-0.205,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Acrocephalus scirpaceus,Teichrohrsänger,Eurasian Reed-Warbler,Passeriformes,Sylviidae,Wetlands (inland) - Grassland - Shrubland - Savanna,Aquatic,Native,LC,Migrant,10797,Passeriformes,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,20,80,0,0,0,low,0,12.3,-0.083,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Aegithalos caudatus,Schwanzmeise,Long-tailed Tit,Passeriformes,Aegithalidae,Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,9964,Passeriformes,60,0,0,0,0,0,10,10,10,10,Invertebrate,0,0,10,40,10,40,0,multi,0,8.6,0.177,closed,terrestrial,altricial,diurnal,Cooperative,nonmigrant,invertebrate
Aix galericulata,Mandarinente,Mandarin Duck,Anseriformes,Anatidae,Wetlands (inland) - Forest,Aquatic,Introduced,LC,Resident,660,Nonpasseriformes,20,0,0,10,0,0,0,0,40,30,PlantSeed,0,100,0,0,0,0,0,water,0,567.04,-0.124,cavity,freshwater,precocial,diurnal,Female only,migrant,vegetation
Alauda arvensis,Feldlerche,Sky Lark,Passeriformes,Alaudidae,Wetlands (inland) - Artificial/Terrestrial - Grassland - Marine Intertidal - Shrubland - Marine Coastal/Supratidal,Terrestrial,Native,LC,Migrant,11529,Passeriformes,40,0,0,0,0,0,0,0,40,20,PlantSeed,0,0,100,0,0,0,0,low,0,37.31,-0.226,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Anas platyrhynchos,Stockente,Mallard,Anseriformes,Anatidae,Wetlands (inland) - Artificial/Aquatic & Marine,Aquatic,Native,LC,Semi,679,Nonpasseriformes,40,0,10,10,0,0,0,0,20,20,Omnivore,20,60,20,0,0,0,0,low,0,843.42,-0.229,open,freshwater,precocial,diurnal,Female only,migrant,omnivore
Anser anser,Graugans,Greylag Goose,Anseriformes,Anatidae,Artificial/Terrestrial - Wetlands (inland) - Grassland,Aquatic,Native,LC,Migrant,607,Nonpasseriformes,0,0,0,0,0,0,10,0,10,80,PlantSeed,0,20,80,0,0,0,0,low,0,3302.41,-0.634,open,freshwater,precocial,diurnal,Occasional,migrant,vegetation
Anthus trivialis,Baumpieper,Tree Pipit,Passeriformes,Motacillidae,Forest - Savanna - Shrubland - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Migrant,11876,Passeriformes,60,0,0,0,0,0,10,10,10,10,Invertebrate,0,0,100,0,0,0,0,low,0,23.33,-0.203,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Apus apus,Mauersegler,Common Swift,Apodiformes,Apodidae,Forest - Desert - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Shrubland - Savanna - Artificial/Terrestrial - Wetlands (inland),Terrestrial,Native,LC,Migrant,2422,Nonpasseriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,0,100,aerial,0,37.6,-0.724,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Buteo buteo,Mäusebussard,Common Buzzard,Accipitriformes,Accipitridae,Forest - Artificial/Terrestrial - Shrubland - Grassland - Wetlands (inland),Terrestrial,Native,LC,Semi,4826,Nonpasseriformes,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,low,0,759.1,-0.673,open,terrestrial,altricial,diurnal,Pair,migrant,vertfishscav
Carduelis cannabina,Bluthänfling,Linnet,Passeriformes,Fringillidae,Shrubland - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Semi,12348,Passeriformes,20,0,0,0,0,0,20,0,60,0,PlantSeed,0,0,60,20,20,0,0,multi,0,19.53,NA,open,terrestrial,altricial,diurnal,Pair,NA,NA
Carduelis carduelis,Stieglitz,Goldfinch,Passeriformes,Fringillidae,Artificial/Terrestrial - Grassland - Wetlands (inland) - Shrubland - Forest,Terrestrial,Native,LC,Semi,12336,Passeriformes,10,0,0,0,0,0,20,0,40,30,PlantSeed,0,0,20,60,20,0,0,multi,0,16,0.069,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Carduelis chloris,Grünfink,Greenfinch,Passeriformes,Fringillidae,Artificial/Terrestrial - Shrubland - Forest,Terrestrial,Native,LC,Semi,12312,Passeriformes,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,40,30,30,0,0,multi,0,26,0.01,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Certhia brachydactyla,Gartenbaumläufer,Short-toed Treecreeper,Passeriformes,Certhiidae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,9657,Passeriformes,70,0,0,0,0,0,0,0,30,0,Invertebrate,0,0,40,30,30,0,0,multi,0,8.2,0.08,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Certhia familiaris,Waldbaumläufer,Treecreeper,Passeriformes,Certhiidae,Forest,Terrestrial,Native,LC,Resident,9655,Passeriformes,60,0,0,0,0,0,0,0,40,0,Invertebrate,0,0,40,30,30,0,0,multi,0,9,-0.101,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Charadrius dubius,Flußregenpfeifer,Little Ringed Plover,Charadriiformes,Charadriidae,Forest - Marine Neritic - Wetlands (inland) - Marine Intertidal - Artificial/Terrestrial - Artificial/Aquatic & Marine - Grassland,Aquatic,Native,LC,Migrant,4239,Nonpasseriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,20,80,0,0,0,0,low,0,38.7,0.202,open,freshwater,precocial,diurnal,Occasional,migrant,invertebrate
Circus aeruginosus,Rohrweihe,Western Marsh-Harrier,Accipitriformes,Accipitridae,Wetlands (inland) - Artificial/Terrestrial - Marine Intertidal,Aquatic,Native,LC,Migrant,4685,Nonpasseriformes,10,60,20,10,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,low,0,704.07,-0.623,open,terrestrial,altricial,diurnal,Occasional,migrant,vertfishscav
Coccothraustes coccothraustes,Kernbeißer,Hawfinch,Passeriformes,Fringillidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,12410,Passeriformes,10,0,0,0,0,0,20,0,30,40,PlantSeed,0,0,0,20,60,20,0,multi,0,56.63,-0.513,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columba livia domestica,Straßentaube,Feral pigeon,Columbiformes,Columbidae,Caves and Subterranean Habitats (non-aquatic) - Rocky areas (eg. inland cliffs - mountain peaks) - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,3315,Nonpasseriformes,10,0,0,0,0,0,0,0,60,30,PlantSeed,0,0,80,20,0,0,0,low,0,354.2,-0.299,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columba oenas,Hohltaube,Stock Pigeon,Columbiformes,Columbidae,Caves and Subterranean Habitats (non-aquatic) - Rocky areas (eg. inland cliffs - mountain peaks) - Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,3322,Nonpasseriformes,20,0,0,0,0,0,0,0,40,40,PlantSeed,0,0,80,20,0,0,0,low,0,290.79,-0.396,cavity,terrestrial,altricial,diurnal,Pair,migrant,seed
Columba palumbus,Ringeltaube,Common Wood-Pigeon,Columbiformes,Columbidae,Shrubland - Artificial/Terrestrial - Forest,Terrestrial,Native,LC,Semi,3325,Nonpasseriformes,0,0,0,0,0,0,30,0,30,40,PlantSeed,0,0,80,20,0,0,0,low,0,490,-0.946,open,terrestrial,altricial,diurnal,Pair,migrant,vegetation
Corvus corax,Kolkrabe,Common Raven,Passeriformes,Corvidae,Forest - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,8124,Passeriformes,10,20,10,10,0,20,10,0,10,10,VertFishScav,0,0,80,0,10,0,10,low,0,927.97,-0.837,open,terrestrial,altricial,diurnal,Pair,migrant,omnivore
Corvus corone,Nebelkrähe,Hooded Crow,Passeriformes,Corvidae,Marine Coastal/Supratidal - Marine Intertidal - Grassland - Forest - Shrubland - Artificial/Terrestrial - Wetlands (inland) - Rocky areas (eg. inland cliffs - mountain peaks),Terrestrial,Native,LC,Resident,8101,Passeriformes,30,20,20,0,0,20,0,0,10,0,VertFishScav,0,0,90,0,0,0,10,low,0,570,-0.82,open,terrestrial,altricial,diurnal,Cooperative,migrant,omnivore
Corvus monedula,Dohle,Eurasian Jackdaw,Passeriformes,Corvidae,Artificial/Terrestrial - Marine Coastal/Supratidal - Grassland - Forest - Rocky areas,Terrestrial,Native,LC,Semi,8073,Passeriformes,30,10,0,0,0,0,30,0,30,0,Omnivore,0,0,50,20,20,10,0,multi,0,246,-0.736,cavity,terrestrial,altricial,diurnal,Pair,migrant,omnivore
Coturnix coturnix,Wachtel,Common Quail,Galliformes,Phasianidae,Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Migrant,300,Nonpasseriformes,20,0,0,0,0,0,0,0,80,0,PlantSeed,0,0,100,0,0,0,0,low,0,96.28,0.115,open,terrestrial,precocial,diurnal,Pair,migrant,seed
Cuculus canorus,Kuckuck,Common Cuckoo,Cuculiformes,Cuculidae,Forest - Grassland - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,1747,Nonpasseriformes,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,20,20,40,20,0,multi,0,111.36,NA,parasite,terrestrial,altricial,diurnal,Parasite,NA,NA
Parus caeruleus,Blaumeise,European Blue Tit,Passeriformes,Thraupidae,Desert - Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,12944,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,50,50,0,multi,0,34,NA,open,terrestrial,altricial,diurnal,Pair,NA,NA
Delichon urbicum,Mehlschwalbe,Northern House-Martin,Passeriformes,Hirundinidae,Forest - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10139,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,20,80,aerial,0,14.96,0.033,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Dendrocopos major,Buntspecht,Great Spotted Woodpecker,Piciformes,Picidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,950,Nonpasseriformes,50,10,0,0,0,10,0,0,30,0,Omnivore,0,0,0,20,40,30,10,multi,0,74.94,NA,cavity,terrestrial,altricial,diurnal,Pair,NA,NA
Dendrocopos medius,Mittelspecht,Middle Spotted Woodpecker,Piciformes,Picidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,946,Nonpasseriformes,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,10,30,30,30,0,multi,0,59,NA,cavity,terrestrial,altricial,diurnal,Pair,NA,NA
Dendrocopos minor,Kleinspecht,Lesser Spotted Woodpecker,Piciformes,Picidae,Forest - Wetlands (inland) - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,937,Nonpasseriformes,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,0,20,20,60,0,multi,0,19.8,NA,cavity,terrestrial,altricial,diurnal,Pair,NA,NA
Dryocopus martius,Schwarzspecht,Black Woodpecker,Piciformes,Picidae,Forest,Terrestrial,Native,LC,Semi,1026,Nonpasseriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,40,40,20,0,0,multi,0,321,-0.847,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Emberiza citrinella,Goldammer,Yellowhammer,Passeriformes,Emberizidae,Forest - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,12464,Passeriformes,30,0,0,0,0,0,0,0,60,10,PlantSeed,0,0,100,0,0,0,0,low,0,29.7,-0.018,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Emberiza schoeniclus,Rohrammer,Reed Bunting,Passeriformes,Emberizidae,Wetlands (inland) - Artificial/Terrestrial,Aquatic,Native,LC,Semi,12500,Passeriformes,30,0,0,0,0,0,0,0,50,20,PlantSeed,0,0,90,10,0,0,0,low,0,18.4,0.181,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Erithacus rubecula,Rotkehlchen,European Robin,Passeriformes,Muscicapidae,Forest - Shrubland - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Semi,9206,Passeriformes,40,0,10,10,0,10,20,0,10,0,Omnivore,0,0,50,50,0,0,0,low,0,17.7,0.132,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Falco tinnunculus,Turmfalke,Common Kestrel,Falconiformes,Falconidae,Artificial/Terrestrial - Shrubland - Forest - Grassland,Terrestrial,Native,LC,Resident,4941,Nonpasseriformes,10,90,0,0,0,0,0,0,0,0,VertFishScav,0,0,80,10,10,0,0,low,0,183.21,-0.313,cave,terrestrial,altricial,diurnal,Occasional,migrant,vertfishscav
Ficedula hypoleuca,Trauerschnäpper,European Pied Flycatcher,Passeriformes,Muscicapidae,Shrubland - Artificial/Terrestrial - Forest - Savanna,Terrestrial,Native,LC,Migrant,9105,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,33,33,33,0,multi,0,13.79,-0.157,cavity,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Fringilla coelebs,Buchfink,Chaffinch,Passeriformes,Fringillidae,Artificial/Terrestrial - Forest - Shrubland,Terrestrial,Native,LC,Semi,12245,Passeriformes,60,0,0,0,0,0,0,0,20,20,Invertebrate,0,0,40,30,30,0,0,multi,0,23.81,NA,open,terrestrial,altricial,diurnal,Occasional,NA,NA
Fulica atra,Bläßhuhn,Common Coot,Gruiformes,Rallidae,Wetlands (inland) - Grassland - Artificial/Aquatic & Marine - Marine Coastal/Supratidal - Marine Neritic,Aquatic,Native,LC,Semi,3939,Nonpasseriformes,10,10,10,10,0,0,0,0,30,30,PlantSeed,50,50,0,0,0,0,0,water,0,717.12,-0.228,open,freshwater,semialtricial,diurnal,Cooperative,migrant,vegetation
Galerida cristata,Haubenlerche,Crested Lark,Passeriformes,Alaudidae,Marine Intertidal - Grassland - Shrubland - Artificial/Terrestrial - Artificial/Aquatic & Marine - Savanna,Terrestrial,Native,LC,Resident,11518,Passeriformes,40,0,0,0,0,0,0,0,40,20,PlantSeed,0,0,100,0,0,0,0,low,0,42.68,-0.231,open,terrestrial,altricial,diurnal,Occasional,nonmigrant,seed
Gallinula chloropus,Teichhuhn,Common Moorhen,Gruiformes,Rallidae,Wetlands (inland) - Artificial/Aquatic & Marine - Marine Coastal/Supratidal,Aquatic,Native,LC,Semi,3931,Nonpasseriformes,20,0,10,10,0,0,20,0,20,20,Omnivore,0,20,60,20,0,0,0,low,0,339.63,-0.116,open,freshwater,semialtricial,diurnal,Cooperative,migrant,omnivore
Garrulus glandarius,Eichelhäher,Eurasian Jay,Passeriformes,Corvidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,8023,Passeriformes,40,10,0,0,0,0,30,0,20,0,Omnivore,0,0,60,20,20,0,0,multi,0,159.46,-0.607,open,terrestrial,altricial,diurnal,Pair,nonmigrant,omnivore
Hippolais icterina,Gelbspötter,Icterine Warbler,Passeriformes,Sylviidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10842,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,0,0,20,80,0,high,0,13.2,-0.24,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Hirundo rustica,Rauchschwalbe,Barn Swallow,Passeriformes,Hirundinidae,Wetlands (inland) - Artificial/Terrestrial - Artificial/Aquatic & Marine - Savanna - Shrubland - Grassland,Terrestrial,Native,LC,Migrant,10074,Passeriformes,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,30,30,40,0,0,multi,0,17.91,-0.023,cave,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
