SCIENTIFIC,GERMAN,ENGLISH,Order,Family,Habitat_long,Habitat,Introduced,Status,Migrant,SpecID_Elton,PassNonPass,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,ForStrat-Cat,Nocturnal,BodyMass-Value,log10_productivity,Nest_type,Foraging_habitat,Developmental_mode,Time_activity,Social system,Migratory mode,Diet
Jynx torquilla,Wendehals,Eurasian Wryneck,Piciformes,Picidae,Forest - Grassland - Shrubland - Marine Coastal/Supratidal - Artificial/Terrestrial - Savanna,Terrestrial,Native,LC,Migrant,838,Nonpasseriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,60,20,20,0,0,multi,0,34.96,0.01,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Lanius collurio,Neuntöter,Red-backed Shrike,Passeriformes,Laniidae,Forest - Artificial/Terrestrial - Savanna - Shrubland - Grassland - Wetlands (inland),Terrestrial,Native,LC,Migrant,7706,Passeriformes,60,10,20,0,0,0,10,0,0,0,Invertebrate,0,0,50,20,10,20,0,multi,0,28.44,-0.217,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Locustella fluviatilis,Schlagschwirl,Eurasian River Warbler,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Grassland - Shrubland - Savanna,Aquatic,Native,LC,Migrant,10779,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,100,0,0,0,low,0,16.1,NA,open,terrestrial,altricial,diurnal,Pair,NA,NA
Locustella luscinioides,Rohrschwirl,Savi's Warbler,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Shrubland - Savanna - Artificial/Terrestrial,Aquatic,Native,LC,Migrant,10780,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,40,60,0,0,0,low,0,13.89,-0.02,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Locustella naevia,Feldschwirl,Common Grasshopper-Warbler,Passeriformes,Sylviidae,Wetlands (inland) - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10775,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,40,60,0,0,0,low,0,13.3,0.026,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Parus cristatus,Haubenmeise,Crested Tit,Passeriformes,Paridae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,9900,Passeriformes,60,0,0,0,0,0,20,0,20,0,Invertebrate,0,0,10,10,20,60,0,multi,0,11.04,0.045,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Lullula arborea,Heidelerche,Wood Lark,Passeriformes,Alaudidae,Forest - Artificial/Terrestrial - Shrubland - Grassland,Terrestrial,Native,LC,Migrant,11526,Passeriformes,50,0,0,0,0,0,0,0,30,20,Omnivore,0,0,100,0,0,0,0,low,0,26.9,-0.144,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Luscinia megarhynchos,Nachtigall,Common Nightingale,Passeriformes,Muscicapidae,Forest - Artificial/Terrestrial - Shrubland,Terrestrial,Native,LC,Migrant,9213,Passeriformes,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,70,30,0,0,0,low,0,19.6,-0.22527454,open,terrestrial,altricial,semidiurnal,Pair,migrant,invertebrate
Miliaria calandra,Grauammer,Corn Bunting,Passeriformes,Emberizidae,Grassland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,12502,Passeriformes,30,0,0,0,0,0,0,0,50,20,PlantSeed,0,0,90,10,0,0,0,low,0,48.5,NA,open,terrestrial,altricial,diurnal,Female only,NA,NA
Motacilla alba,Bachstelze,White Wagtail,Passeriformes,Motacillidae,Marine Intertidal - Artificial/Terrestrial - Grassland - Wetlands (inland) - Desert,Terrestrial,Native,LC,Semi,11802,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,low,0,23.93,0.071,cave,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Motacilla flava,Wiesenschafstelze,Western Yellow Wagtail,Passeriformes,Motacillidae,Wetlands (inland) - Artificial/Aquatic & Marine - Grassland - Artificial/Terrestrial - Shrubland,Aquatic,Native,LC,Migrant,11815,Passeriformes,70,0,0,0,0,0,10,0,10,10,Invertebrate,0,0,100,0,0,0,0,low,0,17.68,-0.126,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Muscicapa striata,Grauschnäpper,Spotted Flycatcher,Passeriformes,Muscicapidae,Forest - Artificial/Terrestrial - Shrubland - Savanna,Terrestrial,Native,LC,Migrant,9073,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,60,40,0,0,0,low,0,15.9,-0.202,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Oenanthe oenanthe,Steinschmätzer,Northern Wheatear,Passeriformes,Muscicapidae,Desert - Grassland - Wetlands (inland) - Artificial/Terrestrial - Marine Coastal/Supratidal - Savanna - Shrubland - Rocky areas (eg. inland cliffs - mountain peaks),Terrestrial,Native,LC,Migrant,9353,Passeriformes,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,100,0,0,0,0,low,0,25.39,0.046,cave,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Oriolus oriolus,Pirol,Eurasian Golden-Oriole,Passeriformes,Oriolidae,Forest - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,8269,Passeriformes,30,10,10,0,0,0,30,10,10,0,Omnivore,0,0,0,0,0,50,50,multi,0,79,-0.519,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Parus major,Kohlmeise,Great Tit,Passeriformes,Paridae,Forest - Artificial/Terrestrial - Shrubland - Grassland - Desert,Terrestrial,Native,LC,Semi,9922,Passeriformes,40,0,0,0,0,10,20,10,20,0,Omnivore,0,0,0,20,60,20,0,multi,0,16.25,0.079,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Passer domesticus,Haussperling,House Sparrow,Passeriformes,Passeridae,Forest - Rocky areas (eg. inland cliffs - mountain peaks) - Wetlands (inland) - Grassland - Artificial/Terrestrial - Artificial/Aquatic & Marine - Shrubland,Terrestrial,Native,LC,Resident,11753,Passeriformes,10,0,0,0,0,0,0,0,60,30,PlantSeed,0,0,50,50,0,0,0,low,0,26.51,0.008,cavity,terrestrial,altricial,diurnal,Cooperative,nonmigrant,seed
Passer montanus,Feldsperling,Eurasian Tree Sparrow,Passeriformes,Passeridae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,11778,Passeriformes,40,0,0,0,0,0,0,0,60,0,PlantSeed,0,0,33,33,33,0,0,multi,0,21.39,-0.035,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Parus ater,Tannenmeise,Coal Tit,Passeriformes,Paridae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,9896,Passeriformes,40,0,0,0,0,10,0,10,20,20,Omnivore,0,0,100,0,0,0,0,low,0,9.2,0.202,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Phasianus colchicus,Jagdfasan,Common Pheasant,Galliformes,Phasianidae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Introduced,LC,Resident,393,Nonpasseriformes,10,0,0,0,0,0,30,0,30,30,PlantSeed,0,0,100,0,0,0,0,low,0,1120.31,-0.555,open,terrestrial,precocial,diurnal,Female only,nonmigrant,vegetation
Phoenicurus ochruros,Hausrotschwanz,Black Redstart,Passeriformes,Muscicapidae,Marine Coastal/Supratidal - Rocky areas (eg. inland cliffs - mountain peaks) - Shrubland - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Migrant,9291,Passeriformes,60,0,0,0,0,0,30,0,10,0,Invertebrate,0,0,60,40,0,0,0,low,0,16.5,0.104,cave,terrestrial,altricial,diurnal,Cooperative,migrant,invertebrate
Phoenicurus phoenicurus,Gartenrotschwanz,Common Redstart,Passeriformes,Muscicapidae,Forest - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,9292,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,20,40,40,0,0,multi,0,14.59,0.187,cavity,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Phylloscopus collybita,Zilpzalp,Eurasian Chiffchaff,Passeriformes,Sylviidae,Forest - Artificial/Terrestrial - Savanna - Shrubland - Wetlands (inland),Terrestrial,Native,LC,Migrant,10929,Passeriformes,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,25,25,25,25,0,multi,0,8.3,0.045,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Phylloscopus sibilatrix,Waldlaubsänger,Wood Warbler,Passeriformes,Sylviidae,Forest - Savanna,Terrestrial,Native,LC,Migrant,10941,Passeriformes,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,0,50,0,50,0,multi,0,9.2,0.105,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Phylloscopus trochilus,Fitis,Willow Warbler,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Grassland - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,10927,Passeriformes,80,0,0,0,0,0,10,0,10,0,Invertebrate,0,0,0,0,30,70,0,multi,0,8.7,0.068,closed,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Pica pica,Elster,Eurasian Magpie,Passeriformes,Corvidae,Forest - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,8057,Passeriformes,20,20,20,0,0,20,10,0,10,0,VertFishScav,0,0,70,10,10,0,10,multi,0,217.48,-0.618,closed,terrestrial,altricial,diurnal,Pair,migrant,omnivore
Picus viridis,Grünspecht,Eurasian Green Woodpecker,Piciformes,Picidae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,1048,Nonpasseriformes,90,0,0,0,0,0,10,0,0,0,Invertebrate,0,0,100,0,0,0,0,low,0,176,-0.515,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Podiceps cristatus,Haubentaucher,Great Crested Grebe,Podicipediformes,Podicipedidae,Wetlands (inland) - Marine Neritic,Aquatic,Native,LC,Semi,5012,Nonpasseriformes,30,0,10,60,0,0,0,0,0,0,VertFishScav,70,30,0,0,0,0,0,water,0,730.96,-0.477,open,freshwater,semialtricial,diurnal,Occasional,migrant,vertfishscav
Podiceps grisegena,Rothalstaucher,Red-necked Grebe,Podicipediformes,Podicipedidae,Marine Neritic - Wetlands (inland),Aquatic,Native,LC,Semi,5010,Nonpasseriformes,50,0,0,50,0,0,0,0,0,0,Omnivore,70,30,0,0,0,0,0,water,0,1023,-0.692,open,freshwater,semialtricial,diurnal,Pair,migrant,invertebrate
Parus palustris,Sumpfmeise,Marsh Tit,Passeriformes,Paridae,Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,9870,Passeriformes,50,0,0,0,0,0,20,0,20,10,Omnivore,0,0,0,20,80,0,0,mid,0,11.14,-0.104,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Prunella modularis,Heckenbraunelle,Dunnock,Passeriformes,Prunellidae,Artificial/Terrestrial - Forest - Shrubland,Terrestrial,Native,LC,Migrant,11910,Passeriformes,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,100,0,0,0,0,low,0,20.24,0.11,open,terrestrial,altricial,diurnal,Cooperative,migrant,invertebrate
Pyrrhula pyrrhula,Gimpel,Bullfinch,Passeriformes,Fringillidae,Artificial/Terrestrial - Forest - Shrubland,Terrestrial,Native,LC,Semi,12404,Passeriformes,10,0,0,0,0,0,10,0,30,50,PlantSeed,0,0,0,50,50,0,0,multi,0,24.26,-0.176,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Rallus aquaticus,Wasserralle,Water Rail,Gruiformes,Rallidae,Wetlands (inland) - Artificial/Aquatic & Marine - Grassland,Aquatic,Native,LC,Migrant,3853,Nonpasseriformes,20,20,10,10,0,0,10,0,10,20,Omnivore,10,40,40,10,0,0,0,low-water,0,110.67,0.281,open,freshwater,precocial,diurnal,Pair,migrant,omnivore
Regulus ignicapilla,Sommergoldhähnchen,Firecrest,Passeriformes,Reguliidae,Forest - Shrubland,Terrestrial,Native,LC,Migrant,10162,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,50,50,0,0,multi,0,5.6,0.132,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Regulus regulus,Wintergoldhähnchen,Goldcrest,Passeriformes,Reguliidae,Forest - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,10159,Passeriformes,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,50,50,0,0,multi,0,5.54,0.441,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Saxicola rubetra,Braunkehlchen,Whinchat,Passeriformes,Muscicapidae,Artificial/Terrestrial - Shrubland - Grassland - Forest,Terrestrial,Native,LC,Migrant,9328,Passeriformes,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,80,20,0,0,0,low,0,16.6,-0.007,open,terrestrial,altricial,diurnal,Occasional,migrant,invertebrate
Saxicola torquatus,Schwarzkehlchen,Common Stonechat,Passeriformes,Muscicapidae,Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial - Grassland,Terrestrial,Native,LC,Resident,9332,Passeriformes,70,0,0,0,10,0,10,0,10,0,Invertebrate,0,0,100,0,0,0,0,low,0,14.09,0.143,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Serinus serinus,Girlitz,Serin,Passeriformes,Fringillidae,Artificial/Terrestrial - Shrubland - Forest,Terrestrial,Native,LC,Migrant,12253,Passeriformes,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,60,40,0,0,0,low,0,11.2,NA,open,terrestrial,altricial,diurnal,Pair,NA,NA
Sitta europaea,Kleiber,Wood Nuthatch,Passeriformes,Sittidae,Forest,Terrestrial,Native,LC,Resident,9616,Passeriformes,70,0,0,0,0,0,0,10,10,10,Invertebrate,0,0,33,33,33,0,0,multi,0,20.37,-0.125,cavity,terrestrial,altricial,diurnal,Pair,nonmigrant,invertebrate
Streptopelia decaocto,Türkentaube,Eurasian Collared-Dove,Columbiformes,Columbidae,Artificial/Terrestrial - Shrubland,Terrestrial,Native,LC,Resident,3391,Nonpasseriformes,10,0,0,0,0,0,30,0,40,20,PlantSeed,0,0,80,10,10,0,0,low,0,148.96,-0.346,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Strix aluco,Waldkauz,Tawny Owl,Strigiformes,Strigidae,Forest - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Resident,2990,Nonpasseriformes,10,80,10,0,0,0,0,0,0,0,VertFishScav,0,10,70,10,10,0,0,multi,1,472.46,-0.572,cavity,terrestrial,altricial,nocturnal,Pair,nonmigrant,vertfishscav
Sturnus vulgaris,Star,Common Starling,Passeriformes,Sturnidae,Marine Intertidal - Forest - Grassland - Artificial/Terrestrial - Artificial/Aquatic & Marine - Shrubland,Terrestrial,Native,LC,Semi,9510,Passeriformes,20,0,10,0,0,10,30,10,20,0,Omnivore,0,0,80,20,0,0,0,low,0,77.14,-0.094,cavity,terrestrial,altricial,diurnal,Occasional,migrant,omnivore
Sylvia atricapilla,Mönchsgrasmücke,Blackcap,Passeriformes,Sylviidae,Forest - Shrubland - Artificial/Terrestrial - Savanna,Terrestrial,Native,LC,Migrant,11383,Passeriformes,50,0,0,0,0,0,30,10,10,0,Omnivore,0,0,0,0,100,0,0,mid,0,16.7,0.069,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia borin,Gartengrasmücke,Garden Warbler,Passeriformes,Sylviidae,Forest - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11384,Passeriformes,50,0,0,0,0,0,40,10,0,0,Omnivore,0,0,0,60,20,20,0,multi,0,18.2,-0.085,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia communis,Dorngrasmücke,Greater Whitethroat,Passeriformes,Sylviidae,Grassland - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11385,Passeriformes,60,0,0,0,0,0,30,0,10,0,Invertebrate,0,0,0,100,0,0,0,low,0,15.1,0.023,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia curruca,Klappergrasmücke,Lesser Whitethroat,Passeriformes,Sylviidae,Forest - Wetlands (inland) - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11386,Passeriformes,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,0,33,33,33,0,multi,0,11.44,-0.063,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Sylvia nisoria,Sperbergrasmücke,Barred Warbler,Passeriformes,Sylviidae,Forest - Shrubland - Savanna - Artificial/Terrestrial,Terrestrial,Native,LC,Migrant,11391,Passeriformes,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,0,80,0,20,0,low,0,22.5,-0.128,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Tachybaptus ruficollis,Zwergtaucher,Little Grebe,Podicipediformes,Podicipedidae,Marine Neritic - Marine Coastal/Supratidal - Artificial/Aquatic & Marine - Wetlands (inland),Aquatic,Native,LC,Semi,5000,Nonpasseriformes,80,0,20,0,0,0,0,0,0,0,Invertebrate,70,30,0,0,0,0,0,water,0,169.43,-0.209,open,freshwater,semialtricial,diurnal,Occasional,migrant,invertebrate
Troglodytes troglodytes,Zaunkönig,Winter Wren,Passeriformes,Troglodytidae,Forest - Artificial/Terrestrial - Shrubland,Terrestrial,Native,LC,Semi,9750,Passeriformes,60,0,10,10,0,0,10,0,10,0,Invertebrate,0,0,50,50,0,0,0,low,0,9.74,0.234,closed,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Turdus merula,Amsel,Eurasian Blackbird,Passeriformes,Turdidae,Forest - Grassland - Shrubland - Artificial/Terrestrial,Terrestrial,Native,LC,Semi,8941,Passeriformes,50,0,0,0,10,0,20,0,20,0,Omnivore,0,0,60,20,20,0,0,multi,0,102.73,0.036,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
Turdus philomelos,Singdrossel,Song Thrush,Passeriformes,Turdidae,Shrubland - Artificial/Terrestrial - Forest,Terrestrial,Native,LC,Semi,8965,Passeriformes,40,0,0,0,0,0,30,0,30,0,Omnivore,0,0,100,0,0,0,0,low,0,67.74,-0.129,open,terrestrial,altricial,diurnal,Pair,migrant,invertebrate
