"prey","pop","pop.obs","sp.obs","beta","low95","low75","high75","high95","site"
135,0,240.2320426,92.8430287011874,60.2284385561928,4.05665522772616,28.8036472978437,90.2644274279703,111.396470083017,"be10"
135,10.3433935392857,41.95172087,134.910624286191,59.0442521166638,2.64833519219631,27.5306252949172,89.3288846800829,110.299759310747,"be11"
135,20.6867870785714,64.46639329,75.4781700196089,58.2871543541579,2.28122432436755,26.5487494541045,88.767074328746,109.376648360202,"be12"
135,31.0301806178571,0.261762929,113.027060432772,57.6685081856682,1.15031324586673,25.7534741397113,87.0552729651258,108.128421566939,"be13"
135,41.3735741571429,0.164031726,128.436605300249,56.365414243331,1.35254252584758,25.4046188454663,86.0214732022551,106.729986813858,"be14"
135,51.7169676964286,0.279482723,51.1172315687977,55.6512135812372,0.0751239653514699,24.4618256911897,85.3699189137729,106.181827577264,"be15"
135,62.0603612357143,17.20737698,91.3273946512333,54.8180359333837,0.0779506352414154,23.8102427540357,84.2645968823748,105.694330599474,"be16"
135,72.403754775,0,62.8114200607866,53.7033857476849,-1.55740818863555,22.7127794053234,83.3139447067323,104.31184551567,"be17"
135,82.7471483142857,13.21794459,129.251645902354,53.0454353889351,-1.91257471443346,22.3021584160579,82.3521191360682,102.419739098965,"be18"
135,93.0905418535714,26.94841775,116.221265229209,51.9804920216178,-2.45871050115092,21.0957415109841,81.1599258542962,101.831509966748,"be19"
135,103.433935392857,0,136.288295944185,51.0227168085169,-4.10227860336373,20.1380447029869,80.4190500380544,101.062682094934,"be2"
135,113.777328932143,121.8939759,42.0892228596357,50.2362674895101,-3.75334904515187,19.4700591303482,79.0569873518667,99.8336237955311,"be20"
135,124.120722471429,15.69085227,114.606994436392,49.1546126163383,-4.99007769745509,18.9776975396259,78.506804363604,99.0606123895431,"be21"
135,134.464116010714,172.3346086,75.6690188754914,48.3789229723244,-6.28516855341137,17.9298957911201,77.3680632998657,98.4866987005834,"be22"
135,144.80750955,289.6150191,73.0961275957871,47.4599998376497,-6.79094278914591,17.0135403404723,76.7852725645197,96.5832375474695,"be23"
135,155.150903089286,159.898215,83.8031367373695,46.7337845816904,-7.30915316960286,15.932002392216,75.9778218387731,96.3406862992178,"be24"
135,165.494296628571,65.50569693,72.6147370450266,45.7783313165487,-8.72797414400051,14.9469269746848,74.7554005527449,95.555092672885,"be25"
135,175.837690167857,118.7306483,87.3847723303344,44.9617421835692,-9.44150557107717,14.4780317200473,74.1588372012107,94.6862826829668,"be26"
135,186.181083707143,61.23989264,91.4812775394335,44.0369561230091,-10.1924502192137,13.455097507275,73.1905662281594,93.9604656507563,"be27"
135,196.524477246429,0.081606671,69.7940586280103,43.0881864592899,-11.5097711820818,12.6633539845988,72.0671488741481,93.3899901958167,"be28"
135,206.867870785714,53.72525385,64.6825508609248,42.0602618839622,-13.0997802368491,11.33218844687,71.4067953414943,91.9819693627031,"be29"
135,217.211264325,3.397385456,86.6994755330013,41.0410366579472,-13.3391321496541,10.1437503734016,70.5461126721592,91.1983440295232,"be3"
135,227.554657864286,36.3515589,41.883222309447,40.1699342281333,-13.3956809271942,9.74162591826172,69.5424075259253,90.125379077884,"be30"
135,237.898051403571,10.48965444,139.117779889373,39.5685483192719,-14.2942152521712,8.79607871278471,68.8986276881776,89.7650227224253,"be4"
135,248.241444942857,138.5031292,63.9065928225897,38.5478975173722,-15.4146384929782,7.58676503145486,67.9425833072246,88.514264253296,"be5"
135,258.584838482143,95.89662741,49.8981685569708,37.6009239030724,-16.6582543984029,6.93382045220395,67.3061886231893,88.8934340566429,"be6"
135,268.928232021429,202.9983087,134.032147963155,36.4252693137,-18.1296329360254,5.71480809394327,66.489327216318,87.6459625287121,"be7"
135,279.271625560714,59.8440229,67.3112250518556,35.8675671405241,-18.5835087493803,4.98761284231604,65.9775939502246,87.3852755361668,"be8"
135,289.6150191,0.046996208,95.0979757675994,34.831837032596,-19.6921930218267,3.63909724316915,65.0488222457428,86.570424975213,"be9"
199.068965517241,0,240.2320426,92.8430287011874,76.002945374227,20.561221632718,44.4206802254242,105.743063343064,126.834032813465,"be101"
199.068965517241,10.3433935392857,41.95172087,134.910624286191,73.7730391285558,18.3575291331639,42.3582796846478,103.332800245108,124.185194506293,"be111"
199.068965517241,20.6867870785714,64.46639329,75.4781700196089,71.7541215307743,16.5632327409784,40.3670888946178,101.573749063023,122.097820085941,"be121"
199.068965517241,31.0301806178571,0.261762929,113.027060432772,70.0052084188701,13.4972877167878,38.5742433227068,99.3262275711886,119.815521292302,"be131"
199.068965517241,41.3735741571429,0.164031726,128.436605300249,67.786673758164,12.7381097487293,36.2687825078953,97.3641227665301,117.956468193222,"be141"
199.068965517241,51.7169676964286,0.279482723,51.1172315687977,66.114513492701,9.46364356327982,34.4927019719586,95.5941733791413,116.045372515673,"be151"
199.068965517241,62.0603612357143,17.20737698,91.3273946512333,63.8284271032198,8.29290779080631,32.5913322182448,93.6999855495628,114.410108440136,"be161"
199.068965517241,72.403754775,0,62.8114200607866,61.7222435920686,5.73472009190453,30.5306044523578,91.897941104815,112.99938070783,"be171"
199.068965517241,82.7471483142857,13.21794459,129.251645902354,59.8708143348677,3.28578076694985,27.6723951947259,90.4006269807839,111.881384352133,"be181"
199.068965517241,93.0905418535714,26.94841775,116.221265229209,57.9983281737866,0.817253335619508,25.2532373471598,88.8463921854255,110.52609350327,"be191"
199.068965517241,103.433935392857,0,136.288295944185,55.8673404479209,-1.06638334413499,23.8348078720189,86.8510339676535,109.009230733683,"be210"
199.068965517241,113.777328932143,121.8939759,42.0892228596357,53.8389945472056,-4.06791604728183,21.2711621350956,85.5244732065535,108.193015595349,"be201"
199.068965517241,124.120722471429,15.69085227,114.606994436392,51.8299912373639,-6.99704420435136,18.6598135188247,84.1529796529169,106.861898793065,"be211"
199.068965517241,134.464116010714,172.3346086,75.6690188754914,49.7371701874768,-9.52117951205929,15.9277449398917,82.5362647926698,105.786636585582,"be221"
199.068965517241,144.80750955,289.6150191,73.0961275957871,47.9000283673394,-12.6136049443387,13.3237639049304,80.8626156570586,103.892807068334,"be231"
199.068965517241,155.150903089286,159.898215,83.8031367373695,45.5163239443271,-14.9215339118997,10.6607941720966,79.476347156418,104.06862580514,"be241"
199.068965517241,165.494296628571,65.50569693,72.6147370450266,43.840183803198,-17.8567866696231,8.277993113711,78.1270560667245,102.733148093484,"be251"
199.068965517241,175.837690167857,118.7306483,87.3847723303344,41.6527947686693,-20.8894914289689,5.72329986155805,76.9263062583968,101.815998135384,"be261"
199.068965517241,186.181083707143,61.23989264,91.4812775394335,39.8032040810478,-24.8854470587268,2.97356464193037,75.5669108792202,101.183717546176,"be271"
199.068965517241,196.524477246429,0.081606671,69.7940586280103,37.8714608610814,-28.3420418362354,-0.410428761049034,74.787567713271,100.829964124072,"be281"
199.068965517241,206.867870785714,53.72525385,64.6825508609248,35.1985274353484,-30.9765026005338,-3.03433798633866,73.1544444809352,99.2781475383054,"be291"
199.068965517241,217.211264325,3.397385456,86.6994755330013,33.7943892776902,-34.9191259358825,-5.95462501280681,72.5430532583176,99.6813953260743,"be31"
199.068965517241,227.554657864286,36.3515589,41.883222309447,31.6787520893788,-37.895794972381,-8.86443159516771,71.1346826670222,99.0316811126292,"be301"
199.068965517241,237.898051403571,10.48965444,139.117779889373,29.579321563429,-41.5861202613281,-11.5253349066468,70.0907123372053,98.5800248607832,"be41"
199.068965517241,248.241444942857,138.5031292,63.9065928225897,27.8068634788129,-44.3777234599528,-14.2363892938198,69.4410191592486,98.7951698810498,"be51"
199.068965517241,258.584838482143,95.89662741,49.8981685569708,25.2890066035012,-48.4495626291689,-16.9384643430934,67.4656336211064,97.2863745862831,"be61"
199.068965517241,268.928232021429,202.9983087,134.032147963155,23.26678104661,-52.1728569329138,-20.1970818306866,66.4541281826876,97.2391419786786,"be71"
199.068965517241,279.271625560714,59.8440229,67.3112250518556,21.7216312061099,-56.0804829195111,-22.9085319704923,66.0771150639362,97.2517745199319,"be81"
199.068965517241,289.6150191,0.046996208,95.0979757675994,19.6381403066933,-58.6727514310249,-25.8935758304569,64.6567794409673,96.8236289625157,"be91"
365,0,240.2320426,92.8430287011874,117.364332394966,53.5150183313797,80.8537655132117,151.570333477515,176.008952751467,"be102"
365,10.3433935392857,41.95172087,134.910624286191,112.170645526793,50.3323113098854,76.9957315857097,146.029841990641,169.299223613345,"be112"
365,20.6867870785714,64.46639329,75.4781700196089,107.469742672197,45.3060297518734,71.9474635154311,140.906800324734,164.540465864435,"be122"
365,31.0301806178571,0.261762929,113.027060432772,102.443863046875,38.6711614113781,65.90025302276,137.291119325325,161.640838762729,"be132"
365,41.3735741571429,0.164031726,128.436605300249,97.4264685144583,31.0111699323705,59.7626993041349,133.93686862339,159.753651277437,"be142"
365,51.7169676964286,0.279482723,51.1172315687977,92.2665552761292,22.1673890764326,52.38574649976,131.46137133962,159.084029345261,"be152"
365,62.0603612357143,17.20737698,91.3273946512333,87.2023258803863,13.3390749777287,44.893751039635,129.106786549956,157.90763919086,"be162"
365,72.403754775,0,62.8114200607866,82.7247601321765,4.59630290679699,37.2007429022148,127.503372407591,158.402899843876,"be172"
365,82.7471483142857,13.21794459,129.251645902354,77.8862664914437,-6.19059768229702,28.8360493003184,126.493501994329,160.710170448859,"be182"
365,93.0905418535714,26.94841775,116.221265229209,72.7375331534514,-18.0474535019896,19.9138055509963,125.004660613375,161.815025852922,"be192"
365,103.433935392857,0,136.288295944185,67.7854270475928,-29.4602591433958,11.3244632077147,124.000431111864,162.817594394528,"be212"
365,113.777328932143,121.8939759,42.0892228596357,63.218918817685,-41.3626449205879,1.9802639767871,123.567372343416,166.026095354613,"be202"
365,124.120722471429,15.69085227,114.606994436392,57.9374381514224,-52.5729616446632,-6.15617338682164,123.002851360033,168.686788034995,"be213"
365,134.464116010714,172.3346086,75.6690188754914,53.4502148257606,-65.2655531075124,-16.0364555436764,122.465999659493,170.451529826088,"be222"
365,144.80750955,289.6150191,73.0961275957871,48.7306268328979,-77.3102545993899,-25.069612844072,121.806178067549,172.687309518968,"be232"
365,155.150903089286,159.898215,83.8031367373695,43.4465937684051,-89.9150783043516,-34.6854595760188,122.196075119447,176.54942898009,"be242"
365,165.494296628571,65.50569693,72.6147370450266,38.7613150926339,-101.884143707073,-44.042107173863,121.480693617958,178.418589342521,"be252"
365,175.837690167857,118.7306483,87.3847723303344,33.9245164264179,-115.579277006228,-53.4532174025681,121.339788068546,181.623207779076,"be262"
365,186.181083707143,61.23989264,91.4812775394335,28.8409523248598,-127.787149003501,-63.0739629867007,121.032239919929,185.315899257867,"be272"
365,196.524477246429,0.081606671,69.7940586280103,23.9619591437819,-141.338981532109,-71.94611280442,121.209125919822,189.918537671514,"be282"
365,206.867870785714,53.72525385,64.6825508609248,18.5713206034322,-153.177117975432,-81.8430084565263,120.968445851162,192.248470758159,"be292"
365,217.211264325,3.397385456,86.6994755330013,14.3504901141714,-167.92431849671,-91.7141817894812,121.420540538489,194.334449518722,"be32"
365,227.554657864286,36.3515589,41.883222309447,8.9893868332438,-180.785162420119,-101.359086563703,120.75972244891,197.286956137421,"be302"
365,237.898051403571,10.48965444,139.117779889373,4.18137392732003,-192.245241818327,-110.759590388764,120.840303465981,202.002993358011,"be42"
365,248.241444942857,138.5031292,63.9065928225897,-0.423245247276406,-206.169747198056,-120.348021132448,120.468032635529,205.045543534317,"be52"
365,258.584838482143,95.89662741,49.8981685569708,-5.38603624451125,-218.931968100249,-129.391569508815,122.156741594164,208.658781888867,"be62"
365,268.928232021429,202.9983087,134.032147963155,-10.2480878081355,-233.693913246871,-140.054037277351,122.101520151394,212.036628260405,"be72"
365,279.271625560714,59.8440229,67.3112250518556,-15.1589411840685,-246.857878624118,-148.821700610142,121.61216296324,215.063590506299,"be82"
365,289.6150191,0.046996208,95.0979757675994,-20.0638671863403,-260.186416962338,-159.90504856162,120.93257400444,220.114158497251,"be92"
